Localidad,Cultivar,Repetición,α Tocopherol,γ Tocopherol,δ Tocopherol,α+γ+δ Tocopherol,Palmitic Acid,Palmitoleic Acid,Stearic Acid,Oleic Acid,Linoleic Acid,Linolenic Acid,Arachidic Acid,Ecosenoic Acid,OSI,Oil content,Código,IV,Fecha de siembra S,inicio de floración IF,Madurez fisiologica MF,Dur S-IF,Dur S-MF,Dur IF-MF,Tmx IF-MF,Tmed IF-MF,T mn IF-MF,pp IF-MF,etp IF- MF
Loc_4,cv_5,1,226.66,645.03,2.18,873.87,4.61,0.2,2.3,64.55,18.45,8.54,0.31,1.03,14.59,47.86,P1159,115.91,2012-05-16,2012-09-19,2012-11-21,127,189,64,21.7,15.4,9.0,0.0,206.20000000000002
Loc_4,cv_5,2,292.36,790.13,4.1,1086.59,4.37,0.17,2.23,63.79,19.5,8.34,0.52,1.07,11.07,47.83,P1157,116.59,2012-05-16,2012-09-19,2012-11-21,127,189,64,21.7,15.4,9.0,0.0,206.20000000000002
Loc_4,cv_6,1,266.13,543.71,7.18,817.02,4.02,0.19,2.07,65.3,18.75,8.27,0.44,0.97,16.49,47.39,P1146,116.34,2012-05-16,2012-09-18,2012-11-21,126,189,63,21.6,16.3,9.0,0.0,204.59999999999997
Loc_4,cv_6,2,295.27,663.23,2.6,961.1,4.02,0.17,2.05,64.21,19.18,8.5,0.62,1.11,14.97,46.16,P1147,116.86,2012-05-16,2012-09-18,2012-11-21,126,189,63,21.6,15.3,9.0,0.0,204.59999999999997
Loc_4,cv_7,1,348.68,754.13,4.1,1106.91,3.9,0.17,2.0,65.7,18.45,7.93,0.52,1.33,9.53,46.51,P1174,115.49,2012-05-16,2012-09-11,2012-11-14,119,183,65,21.2,14.8,8.4,0.0,196.2
Loc_4,cv_7,2,217.28,720.95,9.35,947.58,3.81,0.17,2.09,66.16,17.86,8.74,0.05,1.11,9.75,46.01,P1173,116.87,2012-05-16,2012-09-11,2012-11-14,119,183,65,21.2,14.8,8.4,0.0,196.2
Loc_4,cv_8,1,353.31,554.75,6.52,914.58,4.26,0.18,1.19,64.81,20.72,8.07,0.1,0.76,9.18,47.2,P1177,118.74,2012-05-16,2012-09-12,2012-11-15,120,184,65,21.3,14.9,8.4,0.0,202.9
Loc_4,cv_8,2,341.35,452.25,7.1,800.7,4.46,0.23,1.66,64.44,19.85,7.8,0.47,1.08,9.05,43.99,P1176,116.4,2012-05-16,2012-09-12,2012-11-15,120,184,65,21.3,14.9,8.4,0.0,202.9
Loc_4,cv_9,1,276.79,517.17,13.35,807.31,3.89,0.2,2.78,67.56,15.75,8.03,0.7,1.08,17.84,47.12,P1155,112.37,2012-05-16,2012-09-08,2012-11-12,116,181,66,20.9,14.5,8.2,0.0,192.6
Loc_4,cv_9,2,281.39,583.17,9.26,873.82,3.97,0.17,2.29,66.39,17.09,8.3,0.63,1.16,15.13,47.02,P1156,114.52,2012-05-16,2012-09-08,2012-11-12,116,181,66,20.9,14.5,8.2,0.0,192.6
Loc_4,cv_10,1,289.1,785.46,12.37,1086.93,4.0,0.18,1.99,64.71,19.09,8.24,0.54,1.25,10.77,45.91,P1183,116.56,2012-05-16,2012-09-26,2012-11-24,134,193,60,22.4,16.1,9.7,0.0,202.8
Loc_4,cv_10,2,300.09,759.11,3.56,1062.76,3.61,0.16,1.88,67.41,16.8,8.45,0.51,1.18,8.52,44.00000000000001,P1182,115.33,2012-05-16,2012-09-26,2012-11-24,134,193,60,22.4,16.1,9.7,0.0,202.8
Loc_4,cv_11,1,245.53,658.96,4.81,909.3,4.61,0.2,2.3,64.55,18.45,8.54,0.31,1.03,14.02,45.32,P1149,115.91,2012-05-16,2012-09-18,2012-11-18,126,187,62,21.3,15.0,8.7,0.0,196.0
Loc_4,cv_11,2,301.55,529.71,10.12,841.38,3.9,0.13,1.95,65.94,18.62,8.1,0.25,1.12,15.17,47.86,P1150,116.27,2012-05-16,2012-09-18,2012-11-18,126,187,62,21.3,15.0,8.7,0.0,196.0
Loc_4,cv_12,1,307.06,558.4,1.97,867.43,4.01,0.2,2.06,66.02,17.22,7.94,0.54,2.0,9.87,48.38,P1186,114.16,2012-05-16,2012-09-13,2012-11-15,121,184,64,21.3,14.9,8.5,0.0,196.9
Loc_4,cv_12,2,321.44,631.59,4.95,957.98,3.96,0.16,1.59,71.49,12.3,8.86,0.41,1.24,10.36,50.10999999999999,P1185,112.06,2012-05-16,2012-09-13,2012-11-15,121,184,64,21.3,14.9,8.5,0.0,196.9
Loc_4,cv_13,1,284.28,621.01,7.25,912.54,3.94,0.18,2.06,66.85,17.16,8.15,0.54,1.13,13.72,46.72999999999999,P1165,114.64,2012-05-16,2012-09-12,2012-11-15,120,184,65,21.3,14.9,8.4,0.0,194.29999999999998
Loc_4,cv_13,2,306.8,623.44,5.18,935.42,3.65,0.1,2.04,67.9,16.81,8.03,0.56,1.01,9.51,49.31,P1163,114.44,2012-05-16,2012-09-12,2012-11-15,120,184,65,21.3,14.9,8.4,0.0,194.29999999999998
